md5,title,author
c0e726c120ea60041b611f13634a0441,"2016 Physicians' Desk Reference, 70th Edition",PDR Staff
460ca305b15ed43eec03656ab79566f5,Novel & Short Story Writer's Market 40th Edition: The Most Trusted Guide to Getting Published,Amy Jones
6e34e4a82feba3a75665b9001a88ff02,"Microeconomics, 22nd Edition","Campbell R. McConnell, Stanley L. Brue, Sean Masaki Flynn"
27b37778dd91d172adcfe9911039d2e4,"Macroeconomics, 22nd Edition","CAMPBELL R.. BRUE MCCONNELL (STANLEY L.. FLYNN, SEAN MASAKI.), Stanley L. (PACIFIC LUTHERAN UNIVERSITY) Brue, Sean Masaki (SCRIPPS COLLEGE) Flynn"
9c0f571535962b1fcd0a83d059109884,First Aid for the USMLE Step 1 2022 - A Student-to-Student Guide 32nd Edition,"Tao Le, Vikas Bhushan, Matthew Sochat"
3abd9052f0d28ceacb726b4ab30467be,"How to Prune Fruit Trees, 20th Edition",Georgia Sales
6f5d65c5ac36b69ef205478109763819,"Basic and Clinical Pharmacology, 15th Edition","Bertram Katzung, Anthony Trevor"
dd7409151e02dd0dd3b59c34e78d32d2,Let Us C: Authentic Guide to C PROGRAMMING Language 17th Edition (English Edition),Yashavant Kanetkar
914d8c0fca5cd5db77583272b9ae4253,"Robert's Rules of Order Newly Revised, 12th edition","Henry M. Robert III, Daniel H. Honemann, Thomas J. Balch"
9dd759c9ec10a14c9f4f766b55615670,"Jawetz, Melnick & Adelbergâ€™s Medical Microbiology 28th ed Stefan Riedel, Stephen Morse, Timothy Mietzner, Steve Miller","Stefan Riedel, Stephen Morse, Timothy Mietzner, Steve Miller"
79402c9b1f42c46bc8d2b5773aa31582,"A Festival of Mathematics : A Sourcebook, 28th Edition","Alice Peters, Mark Saul"
f3579e2653351cebead7178eb5063ba5,Betty Crocker Cookbook 13th edition,Betty Crocker
8bccee0547a6487aa2e52f93fa34d4cc,"Compensation, 14th Edition","Barry A. Gerhart, Jerry M. Newman"
27017da6f698a57b4febafb9b7254f0c,"Advanced Financial Accounting, 13th Edition","Theodore E. Christensen, David Cottrell, Cassy Budd"
da9c9901630c9b15fb9480d5726cfe33,IPhone for Dummies (2023 - 14th Edition),"Baig, Edward C.;Hart-Davis, Guy;; Guy Hart-Davis"
a08617f155362361f9a0d7908a0f7aab,"Ultimate Guide Wiring, Updated 9th Edition",Charles Byers
5191bc31bcc8455ada95822aad7f5fc0,"Accounting: What the Numbers Mean, 13th Edition","David H. Marshall, Wayne W. McManus, Daniel F. Viele"
220a5e1db396fae2c2aea9285d30b55d,Retailing Management : 11st Edition,Dhruv Grewal; Michael Levy
