MD5,Title,Author
7b2a4d53fde834e801c26a2bab7e0240,Handbook of Clinical Drug Data,Philip Anderson
411b9300a2f2094800e0e30d439c30fd,Handbook of Herbs and Spices: Volume 2,"Peter, K.V."
c086e2244ad712fe683c37c0e677b79b,Patterson's Allergic Diseases,"Leslie C. Grammer, Paul A. Greenberger"
eb252d785b9d104ec533cf5326d89def,Survival and Austere Medicine: An Introduction,"The Remote, Austere, Wilderness and Third World Medicine Forum"
d13dccac55e0f9b17c9d7ac267a96d4f,Mathematical models in biology. An introduction,"Elizabeth S. Allman, John A. Rhodes"
59f98a1ffbff47448335da76c11b7f51,Mathematical models in biology: solution manual,"Elizabeth S. Allman, John A. Rhodes"
7567387b83ff1b90fdfcda30e21dfac4,"Cambridge handbook of psychology, health and medicine","Susan Ayers, Andrew Baum, Chris McManus, Stanton Newman, Kenneth Wallston, John Weinman, Robert West"
aac0058748685baeb782d1a156a2ed25,Physics of life,Clas Blomberg
766d57fc58fb6f1f28db48d47a2203f4,Encyclopedia of human nutrition,"Benjamin Caballero, Lindsay Allen, Andrew Prentice"
c892c74aeac46715475ef5334302d751,Physics and Chemistry Basis of Biotechnology,"De Cuyper M., Bulte J.W.M. (eds.)"
42335f57139f16a00130b883178151db,Biochemistry,"Garrett R.H., Grisham C.M."
f2a1418a51f96debf5c3241439179d3a,The brain-shaped mind: what the brain can tell us about the mind,"Naomi Goldblum, Shifra Glick"
8d25af00483bac905af5bd0ea1a52f0e,Grzimek’s Student Animal Life Resource: Insects and Spiders,Athur Evans
02b4e17622941606379bf55548420a39,"Mammals (Grzimek's Student Animal Life Resource, volumes 1 to 4)",MELISSA C. McDADE
726cb3bbc4793937821946fa99880cae,Biochemistry: Student Companion,"Richard I. GumportFrank H. Deis, Nancy Counts Gerber, Roger E. Koeppe, II"
1b9a20387c2ce2c837f0d552bb4e559d,Mass Spectrometry and Genomic Analysis,"T. J. Griffin, L. M. Smith (auth.), J. Nicholas Housby (eds.)"
e1a448749dbc9402584da3c64a6eeac9,Molecular biology for computer scientists,Hunter.
3796e1692516ef32eb83cee50bfdf627,How Scientists Think: 21 Experiments,George B. Johnson
a50f2e8f2963888a976899e2c4675d70,Physiology demystified,Layman D.P.
270133ddb8cbaac0efcd9c44c1339116,Review of NASA's longitudinal study of astronaut health,"Committee on the Longitudinal Study of Astronaut Health, David E. Longnecker, Frederick J. Manning, Melvin H., Jr. Worth"
52332bd5c6478578a73a0acf4947d9b4,Evolving pathways key themes in evolutionary developmental biology,"Minelli A., Fusco G. (eds.)"
6e50b9390a4161f5c517e4c04eb81c25,Mathematical Biology 1: An Introduction,James D. Murray
421070b7866a5017f36c86889b795a62,"Biological physics (free web version, Dec. 2002)",Philip Nelson
94143ade065d7fa7c0dec717a7015e13,Lehninger's Principles of biochemistry,"David L. Nelson, Michael M. Cox"
bd5eae4da074a643f9963bdb3a90c6d1,The brain: a very short introduction,O'Shea Michael
e3ea5b8c6063a05d32d804f7494b814e,Biomechanics: principles and applications,"Donald R. Peterson, Joseph D. Bronzino"
3b3d622874c9a89f480ede757ad0ae7d,Biology,"Raven, Johnson."
882703ffb1dc2dd1a369be12cda277a3,You - The Owner's Manual - Inside your Body,"Michael F. Roizen, Mehmet C. Oz"
560ecd8fbd2ba7d757b5a51da042b50f,Biomedical Application of Proteomics,"Jean-Charles Sanchez, Garry L. Corthals, Denis F. Hochstrasser"
c2242ab0cdd631eeac1dd6c31f6492d0,Ribosomes,A. S Spirin
cca2e0312d21bad591a89f1502fa55d1,Experimental Biochemistry,"Robert L. Switzer, Liam F. Garrity"
94edc7c6a81a9a5cf720b6a5685d32c4,Proteomic and Genomic Analysis of Cardiovascular Disease,"Jennifer E. Van Eyk, Michael J. Dunn"
8b69b9286e5abe6d36689986ae2bdb0c,What Is Death: A Scientist Looks at the Cycle of Life,Tyler Volk
12f3351328ffc80ca69e27033680a070,Handbook of psychology. Research methods in psychology,Irving B. Weiner
800f28ea0576a7804324eaf51be1a79e,Handbook of psychology. Biological psychology,Irving B. Weiner
f6d42967ddfb73595e7d0a79bc655463,Handbook of psychology. Experimental psychology,Irving B. Weiner
0213f27d25e5df58e43b889d94b41be4,Handbook of psychology. Personality and social psychology,Irving B. Weiner
61a1ba69584c1b565c88ae4dad94f200,Handbook of psychology. Developmental psychology,Irving B. Weiner
6d1631b87d9bba050b9133abd30f2b7e,Handbook of psychology. Educational psychology,Irving B. Weiner
6f1710fe346d44271fad244b0ef96d93,Handbook of psychology. Clinical psychology,Irving B. Weiner
73e93add17d7d87411a84bf2c1c8ff8f,Handbook of psychology. Health psychology,Irving B. Weiner
8ff8a49f03ccfc625e24313d268daf3f,Handbook of psychology. Assessment psychology,Irving B. Weiner
e6cd537f090503272cd2b8540aa55981,Handbook of psychology. Forensic psychology,Irving B. Weiner
281b5d233abb967ad175b215a1e563ec,Handbook of psychology. Industrial and organizational psychology,"Walter C. Borman, Daniel R. Ilgen, Richard J. Klimoski, Irving B. Weiner"
2e47709636a24e3b93e2b1d9f786984b,Killer Cell Dynamics: Mathematical and Computational Approaches to Immunology,Dominik Wodarz (eds.)
c7cdb3de7ca1a8282b489f6b99cd1181,Transducing the genome,Gary Zweiger
213709dede8ab9ad091483a4b8b606c0,Color Atlas of Hematology - Practical and Clinical Diagnosis,"Harald Theml, Heinz Diem, Torsten Haferlach"
95fdac45a043e8d8ea5bcd596a55eba3,Color Atlas of Human Body,"Adolf Faller, Michael Schuenke"
f498b723827c1064237f0dc9e26caa8c,Grzimek's Student Animal Life Resource - Cumulative Index,Catherine Allen
5d4c5648907e244ae628ed4e45d45fdd,Pocket atlas of sectional anatomy: computed tomography and magnetic resonance imaging,"Torsten B. Moller, Emil Reif"
c2add60bb56059c3a03711834653e84a,Encyclopedia of psychotherapy,"Hersen M., Sledge W. (ed.)"
952130b04659662287ad8ec4569141e4,Encyclopedia of Biological Chemistry,"William J. Lennarz, M. Daniel Lane, Paul Modrich, Jack Dixon, Ernesto Carafoli, John Exton, Don Cleveland"
b242e2ee4ab86c73f047cdcecddd4c35,Encyclopedia of applied psychology,Charles D. Spielberger
56ebdbeb5e3e52c04068d99e41fa1791,Primer on Molecular Genetics,"Denise Casey, Charles Cantor, Sylvia Spengler"
d154013c6ddf839b977a236ea2cb3c49,Introductory quantum chemistry,John C Schug
585bb5b4aeb682e5bfa1992ca9d0981c,The LANL Periodic Table of Elements,Los Alamos National Laboratory
2e1d265d7eb414b0df27a7591da8fe44,The role of degenerate states in chemistry,"Michael Baer, Gert Due Billing"
0a5ae6038a45b957c4379e33495ed57b,The potential distribution theorem and models of molecular solutions,"Tom L. Beck, Michael E. Paulaitis, Lawrence R. Pratt"
43319b80ab210cd943fc86c204437e08,The Analysis of Controlled Substances: A Systematic Approach,Michael D. Cole
0886935a3e2243366513a99e1e3c8958,Strategies and applications in quantum chemistry,"Ellinger Y., Defranceschi M. (eds.)"
2dfe393bc21bd68ae1f8b9d8b53e1953,Electronic and photoelectron spectroscopy: fundamentals and case studies,"Andrew M. Ellis, Miklos Feher, Timothy G. Wright"
ca73e8f58c96fb471cebd7c428f10601,Quantum chemistry of solids: the LCAO first principles treatment of crystals,Robert A. Evarestov
4c1a8585edfc5edd2b091514dd9e4d41,Hartree-Fock Approximate Molecular Orbital Theory,Fermann J.T.
4141a700ef32bc37d20fef14e0b53d8f,"Valence Bond Methods, Theory and applications",Gordon A. Gallup
668abb58ceab55045905b37c248385a9,Mass Spectrometry. Principles and Applications,"Edmond de Hoffmann, Vincent Stroobant"
e16f6c83b8aafb13af840290f5d305ae,Encyclopedia of chemical processing (5 vols.),Sunggyu Lee
e5a80bec996358efacf4290e99e304c6,Magnetism: molecules to materials IV. Nanosized magnetic materials,"Joel S. Miller, Marc Drillon"
f57322d6911a3bf9c6c479b4cff93deb,Fundamentals of Quantum Chemistry: Molecular Spectroscopy and Modern Electronic Structure Computations,Michael P. Mueller
ed54c2a97ddfac4b14e638710dbcb266,A life of magic chemistry: autobiographical reflections of a nobel prize winner,George A. Olah
83d52b9b6dc4f6dd04abcfb684e613e2,NMR quantum information processing,"Ivan Oliveira, Roberto Sarthour Jr., Tito Bonagamba, Eduardo Azevedo, Jair C. C. Freitas"
1cfbe80cd5f7f7e704b9377e939e185c,Valency and Bonding: A Natural Bond Orbital Donor-Acceptor Perspective,"Frank Weinhold, Clark R. Landis"
b3f4745cdcf935d6dba9e116f25e4b78,Encyclopedia of Chemical Physics and Physical Chemistry,"John H. Moore, Nicholas D. Spencer"
7505f8354a1b33d6b90b248a7007863c,History of computer science,Dodig-Crnkovic G.
907580c2925a4910872d7999ee1ad9af,High Performance Data Mining,"Guo, Grossman. (eds.)"
cadf61a46b165599ee4b5fa7249ed7b7,Spoken language processing: guide to algorithms and system development,"Xuedong Huang, Alex Acero, Hsiao-Wuen Hon"
9d615734bfb5e8d9657d68b81068d4d3,Computer science handbook,Allen B. Tucker
553907cdf5f03af78950561f42f1571a,"The essential Turing: seminal writings in computing, logic, philosophy, artificial intelligence, and artificial life, plus the secrets of Enigma","Alan M. Turing, B. Jack Copeland"
14f7c42d0b7af12d07c3331c6b57ba19,Socially intelligent agents: creating relationships,"Cathérine Tessier, Laurent Chaudron, Heinz-Jürgen Müller"
2f2dd8f53d43b7414a7e41f61235ca42,"Natural language processing for online applications: text retrieval, extraction and categorization","Peter Jackson, Isabelle Moulinier"
f7bf4920b3136f2bece98914a2ca8068,Tutorial on support vector regression,"Smola A.J., Schoelkopf B."
75326bcbcc4b507b7f0d6b08ee789afa,The Neural Simulation Language: A System for Brain Modeling,"Alfredo Weitzenfeld, Michael A. Arbib, Amanda Alexander"
3a6d30f403c87823fb63df8fde092870,Principles of adaptive filters and self-learning systems,Anthony Zaknich
8ad3ac185bb840a62477073441093a86,Laboratory in Software Engineering (EECS 6170),"Daniel Jackson, Rob Miller"
bfa3c695da6ff16c16bbae4a7b36fb77,Algorithms for programmers: ideas and source code,Arndt J.
86d00bc3dfa00046b21c29a4f25fb4df,Parallel and distributed logic programming,"Bhattacharya A., Konar A., Mandal A."
86ec89f0a67279b6200707226b7989ec,Tree automata techniques and applications,"Comon H., et al."
807fb9f1a52809bb3a0aea66dd3be35f,The computer science of TeX and LaTeX,Eijkhout V.
7204b3f8799bccd3c78225ec5bd7729f,Functional programming,Fokker J.
cc6376a683c9a78b10c073aa2eddd3d5,Refactoring - Improving the Design of Existing Code,"Martin Fowler, Kent Beck, John Brant, William Opdyke, Don Roberts"
b7ee298af31132febf8a4568f7955d64,Concise Algorithmics: The Basic Toolbox,"Mehlhorn K., Sanders P."
c7a0c81ddf7c0e108e571a5554aa024d,Syntactic theory: a formal introduction,"Ivan A. Sag, Thomas Wasow"
53502109d0f9c74857bbb116ce827e96,Perl Programming for Biologists,D. Curtis Jamison
c496e35f1a8c24a761baa4dc1d8563df,Biostatistical Methods in Epidemiology,"Stephen C. Newman, Newman"
373e580cb6ae7b19a2fa17821a584229,Algorithms in computational biology,Pedersen C.N.S.
943260edc21663fa1ed73a4b07baf37c,Data analysis in molecular biology and evolution,Xihua Xia.
84f0d17ebb48c1d7211e90a9ff7bdf7e,Computer Algebra: Systems and Algorithms for Algebraic Computation,"J. H. Davenport, Y. Siret, Evelyne Tournier"
a48479c2c924fe36dff73b6d15fbc7c1,Lecture notes on computer algebra,Ziming Li.
9e92f230ec68b67c9bc5d9ea69489aab,Spatial data modeling for 3D GIS,"Alias Abdul-Rahman, Morakot Pilouk"
4f8f4dfdd36aa9b52ecf2efd9c332860,Computer graphics and geometric modeling: implementation and algorithms,Max K. Agoston
ee6d8c181e6497de816f8975770e037f,"Jim Blinn's Corner: Notation, Notation, Notation (Jim Blinn's Corner)",Jim Blinn
a4283a0ace31d2e31f58a4fedb05aab0,Scientific Visualization: The visual extraction of knowledge from data,"Georges-Pierre Bonneau, Thomas Ertl, Gregory M. Nielson"
d9d408c2246b6a104f22a45eff3a9b1a,Introduction to Computing with Geometry,"Adrian Bowyer, John Woodwark"
b8ff2f69a03b82d2f2ba8100ab287148,3-D Computer graphics. Mathematical introduction with OpenGL,Medhat H. Rahim
4c6c4db7864112e247c1b694de65286a,Computational geometry: methods and applications,Chen J.
5ad3511898a01754232f9b3989139acd,Shape analysis and structuring,"Leila de Floriani, Michela Spagnuolo"
c836311ef9cc5b26494259c1773b79da,Curve and surface reconstruction: Algorithms with mathematical analysis,Tamal K. Dey
6373c610a6a938dc67d7bcac78ce0dff,Pythagorean-hodograph curves: algebra and geometry inseparable,Rida Farouki
386ba006e8a3618853eadbc70f2b6b3f,Visibility algorithms in the plane,Subir Kumar Ghosh
aac852e5d1cc87e2dd0b85290a214716,Geometric and solid modeling,Christoph M. Hoffmann
486621655b361a582ecd1fefcb65d78f,Geometric properties for incomplete data,"Reinhard Klette, Ryszard Kozera, Lyle Noakes, Joachim Weickert"
11d53f66a5cb02452f17a69e39a6142e,A blossoming development of splines,Stephen Mann
70a3141a377c7b45710072c4c05a7dfc,Focus on 3D Terrain Programming,Trent (Trent Polack) Polack
942b6b22010a88955707a108d6076904,Implicit objects in computer graphics,"Luiz Velho, Jonas Gomes, Luiz H. de Figueiredo"
e59ed52ace67f86e75304915b377328c,Foundations of cryptography. Basic tools,Oded Goldreich
732e004392f10246c544ca3eaa4bbef3,A classical introduction to modern cryptography,Serge Vaudenay
86bd68e3835a2dcbd8bbc82f37f6b679,Discrete Math in Computer Science,"Bogart, Stein."
e82d835e056a70b9488416b628e70d4a,"Structural theory of automata, semigroups, and universal algebra","M. Goldstein, Valery B. Kudryavtsev, Ivo G. Rosenberg"
a64b0716ec3709667ed048d165f875d8,Schaum's outline of discrete mathematics,"Lipschutz S., Lipson M."
7c1458b1061097c257272b493f5e8178,Discrete mathematics,"J.Peilkan, K.Vesztergombi L.Lovasz"
b1bf94e86a4b6f8ab666d5a5bc0bfc9c,"Data Mining, a Heuristic Approach","Hussein A. Abbass, Ruhul Amin Sarker, Charles S. Newton"
129d5c17688d23acecf83bca0ba0993a,Artificial neural networks technology. DACS report,DARPA Neural Network Study (U.S.)
0fc293e8c168e5357fb0d6fbdc53e90d,Handbook of brain theory and neural networks,Michael A. Arbib
2bc1ad594c1d1e58bf112fb6c66092c6,Cellular neural networks and visual computing: foundation and applications,"Leon O. Chua, Tamas Roska"
ee8878be641ca473c53bb142af935c89,Introduction to neural networks,"Kroese B., van der Smagt P."
dfb63dfac800f816381a90b85c07a1ac,From computer to brain: foundations of computational neuroscience,William W. Lytton
